,relation_0,relation_1,relation_2,relation_3,relation_4,relation_5,sex,LogAge,LogFnlwgt,LogHr,LogScaledExtra_income,live_with_spouse,workclass_1,workclass_2,workclass_3,workclass_4,workclass_5,races,native.countries,occupations_1,occupations_2,occupations_3,edulevel_1,edulevel_2,edulevel_3,edulevel_4,edulevel_5,edulevel_6,income
12,0,1,0,0,0,0,1,3.63758616,12.01082389,3.80666249,-4.221224477,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
13,0,1,0,0,0,0,0,3.951243719,11.76893884,2.995732274,-4.221224477,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
14,0,1,0,0,0,0,1,3.465735903,11.82190904,4.007333185,-4.221224477,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
15,0,1,0,0,0,0,1,3.931825633,12.05626668,3.688879454,-4.221224477,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1
16,0,1,0,0,0,0,1,3.828641396,10.72245207,3.688879454,-4.221224477,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
17,0,1,0,0,0,0,1,3.80666249,12.06001744,4.33073334,-4.221224477,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1
18,0,1,0,0,0,0,1,4.043051268,12.66932541,3.912023005,-4.221224477,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
19,0,1,0,0,0,0,1,3.091042453,11.69184123,3.688879454,-4.221224477,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
20,0,1,0,0,0,0,1,3.526360525,12.22112873,3.912023005,-4.221224477,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
21,0,1,0,0,0,0,1,3.610917913,12.14830581,3.688879454,-4.221224477,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
22,0,1,0,0,0,0,0,3.36729583,11.25167758,3.737669618,-4.176545699,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
23,0,0,0,0,1,0,0,4.110873864,10.27708352,3.218875825,-4.176545699,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
24,1,0,0,0,0,0,1,3.931825633,11.94386337,3.688879454,-4.086469942,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
25,1,0,0,0,0,0,1,4.110873864,11.81513894,3.465735903,-4.086469942,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
26,1,0,0,0,0,0,1,3.044522438,10.44319214,3.688879454,-4.086469942,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
27,0,1,0,0,0,0,1,3.496507561,12.34014889,3.465735903,-4.086469942,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
28,1,0,0,0,0,0,1,3.891820298,11.71231716,3.688879454,-4.086469942,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
29,0,1,0,0,0,0,1,3.610917913,11.58211565,3.912023005,-4.06167994,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
30,0,1,0,0,0,0,1,3.63758616,12.07459628,4.49980967,-4.06167994,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1
31,0,1,0,0,0,0,1,3.135494216,10.6933984,3.688879454,-4.06167994,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1
32,0,0,0,0,1,0,0,4.077537444,11.58326277,3.912023005,-4.06167994,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
33,0,1,0,0,0,0,1,3.951243719,12.20037142,4.094344562,-4.06167994,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
34,0,1,0,0,0,0,1,3.931825633,11.72002906,3.912023005,-4.06167994,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
35,0,1,0,0,0,0,1,4.094344562,12.23196454,3.912023005,-4.06167994,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
36,0,1,0,0,0,0,0,4.143134726,10.57594721,4.094344562,-4.06167994,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
37,0,1,0,0,0,0,1,3.970291914,11.91605451,3.871201011,-4.06167994,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
38,0,1,0,0,0,0,0,3.931825633,12.19178608,3.912023005,-4.06167994,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
39,0,1,0,0,0,0,0,3.610917913,11.83157554,4.094344562,-4.06167994,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
40,0,1,0,0,0,0,0,3.988984047,11.99344239,3.688879454,-4.06167994,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
41,0,0,0,0,1,0,1,3.784189634,12.69536406,3.912023005,-4.055024342,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
42,0,0,0,0,1,0,0,3.761200116,11.65967166,3.688879454,-4.055024342,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
43,0,0,0,0,1,0,0,3.931825633,11.65326116,3.688879454,-4.055024342,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
44,0,0,0,0,1,0,0,3.761200116,12.57649417,3.688879454,-4.055024342,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
45,1,0,0,0,0,0,1,4.262679877,11.52109203,2.708050201,-4.023465683,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
46,0,0,0,0,1,0,0,3.871201011,11.70563455,4.248495242,-4.014401372,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
47,1,0,0,0,0,0,1,4.262679877,11.61168424,3.951243719,-4.01175096,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
48,1,0,0,0,0,0,1,4.290459441,12.36257199,3.688879454,-4.006471116,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
49,0,0,0,0,0,1,0,4.219507705,12.16552145,3.688879454,-4.006471116,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
50,1,0,0,0,0,0,1,4.204692619,12.07251268,3.688879454,-4.006471116,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
51,0,1,0,0,0,0,1,3.688879454,12.72352328,3.80666249,-3.999648733,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
52,0,1,0,0,0,0,0,3.912023005,12.37888665,4.276666119,-3.999648733,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
53,0,1,0,0,0,0,1,3.931825633,11.14038243,3.663561646,-3.999648733,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
54,0,1,0,0,0,0,0,3.737669618,11.58316023,3.688879454,-3.999648733,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
55,0,1,0,0,0,0,1,3.663561646,11.86064846,3.80666249,-3.999648733,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
56,0,0,1,0,0,0,1,3.465735903,12.24369593,3.912023005,-3.999648733,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
57,0,1,0,0,0,0,1,3.970291914,12.65473453,3.80666249,-3.999648733,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
58,0,1,0,0,0,0,1,3.688879454,11.90071528,3.688879454,-3.999648733,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
59,0,1,0,0,0,0,0,3.63758616,12.37837754,3.80666249,-3.999648733,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
60,0,1,0,0,0,0,1,3.496507561,12.18024702,3.737669618,-3.999648733,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
61,0,1,0,0,0,0,1,3.761200116,11.95186403,4.248495242,-3.999648733,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
62,0,0,1,0,0,0,1,3.912023005,11.70718383,3.688879454,-3.999648733,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
63,0,0,0,0,0,1,0,3.784189634,11.99552444,1.791759469,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
64,1,0,0,0,0,0,1,3.931825633,11.98744389,3.688879454,-3.984595244,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
65,1,0,0,0,0,0,1,3.713572067,11.79223761,3.688879454,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
66,1,0,0,0,0,0,1,4.094344562,12.32985984,4.248495242,-3.984595244,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
67,1,0,0,0,0,0,1,3.610917913,12.70678733,4.094344562,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
68,1,0,0,0,0,0,1,4.007333185,11.72914107,3.555348061,-3.984595244,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
69,1,0,0,0,0,0,1,3.663561646,12.70678733,4.094344562,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
70,1,0,0,0,0,0,1,3.737669618,12.14261088,4.094344562,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
71,1,0,0,0,0,0,1,3.891820298,12.20120582,4.007333185,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
72,1,0,0,0,0,0,1,3.850147602,11.88648702,3.912023005,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
73,1,0,0,0,0,0,1,3.713572067,12.60232209,3.80666249,-3.984595244,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
74,1,0,0,0,0,0,1,4.007333185,12.33646913,3.912023005,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
75,0,0,0,0,0,1,0,3.663561646,12.09921657,4.17438727,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
76,1,0,0,0,0,0,1,3.737669618,11.94713351,4.094344562,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
77,1,0,0,0,0,0,1,3.713572067,10.2104942,2.48490665,-3.984595244,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1
78,1,0,0,0,0,0,1,3.828641396,12.69727805,4.17438727,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
79,1,0,0,0,0,0,1,3.688879454,11.98523269,3.80666249,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
80,1,0,0,0,0,0,1,3.465735903,12.89104904,3.871201011,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
81,1,0,0,0,0,0,1,3.713572067,11.92562435,4.007333185,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
82,1,0,0,0,0,0,1,4.094344562,12.72542581,4.382026635,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
83,1,0,0,0,0,0,1,3.433987204,12.53902082,4.248495242,-3.984595244,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
84,1,0,0,0,0,0,1,4.060443011,10.67408177,3.688879454,-3.984595244,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
85,1,0,0,0,0,0,1,3.610917913,10.32643233,3.912023005,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
86,1,0,0,0,0,0,1,3.784189634,12.21474493,3.912023005,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
87,1,0,0,0,0,0,1,3.663561646,12.29449553,3.912023005,-3.984595244,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
88,1,0,0,0,0,0,1,3.761200116,11.96397561,4.007333185,-3.984595244,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
89,1,0,0,0,0,0,1,4.007333185,12.60635434,3.912023005,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
90,1,0,0,0,0,0,1,3.784189634,12.16374952,4.007333185,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
91,1,0,0,0,0,0,1,3.663561646,12.1993199,4.204692619,-3.984595244,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
92,1,0,0,0,0,0,1,3.828641396,11.53574315,3.688879454,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
93,1,0,0,0,0,0,1,3.663561646,12.76145377,4.59511985,-3.984595244,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1
94,1,0,0,0,0,0,1,4.127134385,10.93752576,4.094344562,-3.984595244,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
95,0,0,0,0,0,1,0,3.433987204,12.44016405,3.688879454,-3.984595244,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1
96,1,0,0,0,0,0,1,3.828641396,12.17025374,3.555348061,-3.984595244,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
97,1,0,0,0,0,0,1,3.828641396,12.19984831,4.382026635,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
98,1,0,0,0,0,0,1,3.663561646,11.87145968,3.688879454,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
99,1,0,0,0,0,0,1,3.663561646,12.37881934,4.59511985,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
100,1,0,0,0,0,0,1,4.077537444,11.3136083,3.80666249,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
101,1,0,0,0,0,0,1,3.912023005,12.03048636,4.094344562,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
102,1,0,0,0,0,0,1,3.828641396,13.03038404,4.007333185,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
103,1,0,0,0,0,0,1,3.970291914,11.56625768,3.688879454,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
104,1,0,0,0,0,0,1,3.912023005,10.65495081,3.401197382,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
105,0,0,0,0,0,1,0,3.713572067,11.64902855,4.007333185,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
106,1,0,0,0,0,0,1,3.583518938,12.7555746,3.80666249,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
107,1,0,0,0,0,0,1,3.63758616,12.14350551,4.49980967,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
108,1,0,0,0,0,0,1,3.988984047,10.47942653,3.912023005,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
109,0,0,0,0,0,1,0,3.912023005,11.53611451,2.995732274,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
110,1,0,0,0,0,0,1,3.850147602,11.91166803,4.094344562,-3.984595244,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
111,1,0,0,0,0,0,1,3.850147602,11.53574315,3.80666249,-3.984595244,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
112,0,1,0,0,0,0,1,4.204692619,11.56411275,3.688879454,-3.972815338,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
113,1,0,0,0,0,0,1,4.204692619,11.57284396,4.317488114,-3.972815338,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
114,1,0,0,0,0,0,1,4.276666119,10.86164933,3.218875825,-3.972815338,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
115,1,0,0,0,0,0,1,4.276666119,11.6860549,1.791759469,-3.972815338,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1
116,1,0,0,0,0,0,1,3.828641396,12.16513606,3.912023005,-3.972815338,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
117,1,0,0,0,0,0,1,4.356708827,12.14443126,3.688879454,-3.972815338,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
118,1,0,0,0,0,0,1,4.262679877,11.10682015,4.094344562,-3.972815338,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
119,1,0,0,0,0,0,1,4.418840608,11.93938856,4.007333185,-3.972815338,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
120,1,0,0,0,0,0,1,4.219507705,12.26097268,3.688879454,-3.972815338,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
121,1,0,0,0,0,0,1,3.258096538,12.10986456,3.80666249,-3.965206881,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
122,1,0,0,0,0,0,1,4.219507705,12.37108696,4.094344562,-3.965206881,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
123,0,0,0,0,0,1,0,3.891820298,11.97467638,3.688879454,-3.965206881,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
124,1,0,0,0,0,0,1,3.583518938,12.82332911,4.094344562,-3.965206881,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
125,1,0,0,0,0,0,1,4.248495242,11.95208966,2.48490665,-3.965206881,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
126,0,0,0,0,0,1,0,3.295836866,11.96091352,2.995732274,-3.965206881,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
127,1,0,0,0,0,0,1,3.555348061,12.08562669,3.688879454,-3.965206881,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
128,1,0,0,0,0,0,1,3.135494216,12.001168,3.688879454,-3.965206881,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
129,1,0,0,0,0,0,1,4.394449155,12.08620744,3.258096538,-3.965206881,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
130,1,0,0,0,0,0,1,4.189654742,12.96552709,3.218875825,-3.965206881,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
131,1,0,0,0,0,0,1,4.262679877,11.9336535,3.80666249,-3.965206881,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
132,1,0,0,0,0,0,1,4.219507705,12.2951681,4.007333185,-3.965206881,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
133,1,0,0,0,0,0,1,4.219507705,12.2194774,3.737669618,-3.965206881,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
134,1,0,0,0,0,0,1,4.17438727,12.39195868,3.688879454,-3.965206881,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1
135,1,0,0,0,0,0,1,3.951243719,12.31225532,3.688879454,-3.965206881,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
136,1,0,0,0,0,0,1,3.688879454,11.61604146,3.912023005,-3.965206881,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
137,1,0,0,0,0,0,1,4.219507705,12.45787751,3.555348061,-3.965206881,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1
138,1,0,0,0,0,0,1,3.044522438,12.84246692,3.871201011,-3.965206881,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
139,1,0,0,0,0,0,1,3.555348061,12.17004642,3.688879454,-3.965206881,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
140,1,0,0,0,0,0,1,4.248495242,12.24499524,3.912023005,-3.965206881,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
141,1,0,0,0,0,0,1,4.110873864,10.50974153,3.912023005,-3.952653365,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
142,1,0,0,0,0,0,1,4.17438727,11.30729024,4.17438727,-3.952653365,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
143,0,1,0,0,0,0,0,3.828641396,12.27818398,3.80666249,-3.946187289,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
144,0,1,0,0,0,0,1,3.258096538,12.0215186,4.007333185,-3.946187289,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
145,0,0,0,0,1,0,1,4.077537444,11.90298586,3.688879454,-3.946187289,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
146,0,1,0,0,0,0,1,4.110873864,10.68175683,3.688879454,-3.946187289,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
147,0,1,0,0,0,0,0,4.094344562,12.79077957,3.688879454,-3.946187289,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
148,0,1,0,0,0,0,1,3.891820298,11.85692643,3.912023005,-3.946187289,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
149,0,1,0,0,0,0,1,3.526360525,10.13942886,3.688879454,-3.946187289,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
150,0,0,0,1,0,0,0,3.218875825,11.25248235,3.555348061,-3.946187289,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
151,0,1,0,0,0,0,0,4.007333185,11.97478351,3.80666249,-3.946187289,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
152,0,0,1,0,0,0,0,4.077537444,12.05133513,3.688879454,-3.946187289,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
153,0,0,0,1,0,0,1,3.33220451,12.85262338,3.688879454,-3.946187289,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
154,0,1,0,0,0,0,0,3.761200116,11.93537223,3.583518938,-3.946187289,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
155,0,0,0,0,1,0,0,4.025351691,12.75602763,4.094344562,-3.946187289,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
156,0,1,0,0,0,0,1,3.713572067,11.99621544,3.688879454,-3.946187289,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
157,0,0,1,0,0,0,0,3.737669618,12.16402594,3.688879454,-3.946187289,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
158,0,1,0,0,0,0,1,3.33220451,12.43680731,3.688879454,-3.946187289,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
159,0,1,0,0,0,0,0,3.688879454,10.41361293,3.555348061,-3.946187289,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
160,0,1,0,0,0,0,1,4.234106505,12.34113224,3.688879454,-3.918319438,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
161,1,0,0,0,0,0,1,4.189654742,10.50133455,3.688879454,-3.911113065,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
162,1,0,0,0,0,0,1,4.234106505,11.73550886,3.688879454,-3.911113065,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
163,0,0,0,0,0,1,0,4.007333185,12.0785006,3.688879454,-3.911113065,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
164,0,1,0,0,0,0,1,4.043051268,12.8236608,3.688879454,-3.906814038,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
165,0,0,0,1,0,0,1,2.995732274,11.96492422,2.302585093,-3.906814038,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
166,0,1,0,0,0,0,1,3.496507561,12.57357625,4.430816799,-3.906814038,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
167,0,0,1,0,0,0,1,3.401197382,12.45797857,3.688879454,-3.906814038,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
168,0,1,0,0,0,0,0,3.688879454,12.57065673,3.871201011,-3.906814038,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
169,0,1,0,0,0,0,1,3.63758616,11.53251238,4.007333185,-3.906814038,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1
170,0,0,0,0,1,0,1,3.828641396,12.16929973,3.63758616,-3.906814038,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
171,0,1,0,0,0,0,0,3.36729583,11.81522025,3.80666249,-3.906814038,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
172,0,1,0,0,0,0,1,4.043051268,12.2016328,3.688879454,-3.906814038,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
173,0,0,0,1,0,0,1,3.663561646,11.96334482,3.737669618,-3.906814038,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
174,0,1,0,0,0,0,1,3.850147602,11.83578403,3.688879454,-3.906814038,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
175,0,1,0,0,0,0,1,3.258096538,12.54194828,3.80666249,-3.906814038,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
176,0,1,0,0,0,0,1,3.295836866,12.24806356,3.912023005,-3.906814038,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
177,0,0,0,1,0,0,0,3.135494216,11.541921,3.688879454,-3.906814038,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1
